idx,facility_name,suggested_name,Name_Correction,Name_Match,all_names,source_facility_type,odhf_facility_type,suggested_type,Type_Match,Type_Correction,all_types,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,MISSING,hosp_group,dupe_flag,address
3653,golden years nursing home,,,,,long-term care home,Nursing and residential care facilities,,,,,Province of Ontario,,704,eagle street n,N3H4T3,cambridge,on,,Cambridge,3530010,35,43.4042795,-80.35454667,2,2359,FALSE,"704, eagle street n, cambridge, on, N3H4T3"
3655,good companions seniors' center,,,,,community support service,Ambulatory health care services,,,,,Province of Ontario,,670,albert street,K1R6L2,ottawa,on,,Ottawa,3506008,35,45.41364475,-75.71017064,2,2360,FALSE,"670, albert street, ottawa, on, K1R6L2"
3656,good samaritan nursing home,,,,,long-term care home,Nursing and residential care facilities,,,,,Province of Ontario,,481,victoria street e,L9R1J8,new tecumseth,on,,New Tecumseth,3543007,35,44.15888285,-79.84546178,2,2361,FALSE,"481, victoria street e, new tecumseth, on, L9R1J8"
3657,good samaritan retirement lodge,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,481,victoria street e,L9R1J8,new tecumseth,on,,New Tecumseth,3543007,35,44.15888285,-79.84546178,2,2362,FALSE,"481, victoria street e, new tecumseth, on, L9R1J8"
3658,good shepherd centre hamilton (the),,,,,community support service,Ambulatory health care services,,,,,Province of Ontario,,143,wentworth street s,L8N2Z1,hamilton,on,,Hamilton,3525005,35,43.24748669,-79.8504159,2,2363,FALSE,"143, wentworth street s, hamilton, on, L8N2Z1"
3659,good shepherd ministries,,,,,community support service,Ambulatory health care services,,,,,Province of Ontario,,412,queen street e,M5A1T3,toronto,on,,Toronto,3520005,35,43.65615969,-79.36252578,2,2364,FALSE,"412, queen street e, toronto, on, M5A1T3"
3662,goodness retirement living,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,16,aldborough avenue,N5R4S7,saint thomas,on,,St. Thomas,3534021,35,42.759489,-81.173799,2,2365,FALSE,"16, aldborough avenue, saint thomas, on, N5R4S7"
3663,governing council of salvation army - london village adult day program,,,,,community support service,Ambulatory health care services,,,,,Province of Ontario,,1340,dundas street e,N5W3B6,london,on,,London,3539036,35,42.99826238,-81.2030626,2,2366,FALSE,"1340, dundas street e, london, on, N5W3B6"
3664,"governing council of the salvation army in canada, the",,,,,mental health and addiction organization,Nursing and residential care facilities,,,,,Province of Ontario,,78,admiral road,M5R2L6,toronto,on,,Toronto,3520005,35,43.67333259,-79.40135009,2,2367,FALSE,"78, admiral road, toronto, on, M5R2L6"
3665,governor's walk retirement residence,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,150,stanley avenue,K1M2J7,ottawa,on,,Ottawa,3506008,35,45.44025126,-75.68767054,2,2368,FALSE,"150, stanley avenue, ottawa, on, K1M2J7"
3666,grace haven,,,,,community support service,Ambulatory health care services,,,,,Province of Ontario,,35,van horne avenue,P8N3B4,dryden,on,,Dryden,3560027,35,49.78362787,-92.8355216,2,2369,FALSE,"35, van horne avenue, dryden, on, P8N3B4"
3667,grace manor,,,,,long-term care home,Nursing and residential care facilities,,,,,Province of Ontario,,45,kingknoll drive,L6Y5P2,brampton,on,,Brampton,3521010,35,43.65294337,-79.7414379,2,2370,FALSE,"45, kingknoll drive, brampton, on, L6Y5P2"
3669,grand bend area community health centre,,,,,community health centre,Hospitals,,,,,Province of Ontario,,69,main street s,N0M1T0,exeter,on,,Lambton Shores,3538040,35,43.3099406,-81.7502814,2,2371,FALSE,"69, main street s, exeter, on, N0M1T0"
3671,grand river community health centre,,,,,midwifery clinic,Ambulatory health care services,,,,,Province of Ontario,,363,colborne street,N3S3N2,brantford,on,,Brantford,3529006,35,43.13882755,-80.25587592,2,2372,FALSE,"363, colborne street, brantford, on, N3S3N2"
3679,grand wood park,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,81,grand avenue,N6C1M2,london,on,,London,3539036,35,42.97086368,-81.24181941,2,2373,FALSE,"81, grand avenue, london, on, N6C1M2"
3680,grandview fht,,,,,family health team - contract,Ambulatory health care services,,,,,Province of Ontario,,167,hespeler road,N1R3H7,cambridge,on,,Cambridge,3530010,35,43.38142249,-80.31935576,2,2374,FALSE,"167, hespeler road, cambridge, on, N1R3H7"
3682,grandview lodge / dunnville,,,,,long-term care home,Nursing and residential care facilities,,,,,Province of Ontario,,657,lock street w,N1A1V9,dunnville,on,,Haldimand County,3528018,35,42.90834644,-79.6340154,2,2375,FALSE,"657, lock street w, dunnville, on, N1A1V9"
3683,granite landing,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,30,light drive,N1T0B9,cambridge,on,,Cambridge,3530010,35,43.38918,-80.28204865,2,2376,FALSE,"30, light drive, cambridge, on, N1T0B9"
3684,granite ridge care community,,,,,long-term care home,Nursing and residential care facilities,,,,,Province of Ontario,,5501,abbott street e,K2S2C5,ottawa,on,,Ottawa,3506008,35,45.26988372,-75.90499269,2,2377,FALSE,"5501, abbott street e, ottawa, on, K2S2C5"
3685,granite ridge retirement residence,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,1097,bethune drive s,P1P0A8,gravenhurst,on,,Gravenhurst,3544002,35,44.9106018,-79.36804549,2,2378,FALSE,"1097, bethune drive s, gravenhurst, on, P1P0A8"
3686,gravenhurst senior citizens club,,,,,community support service,Ambulatory health care services,,,,,Province of Ontario,,480,first street n,P1P1B9,gravenhurst,on,,Gravenhurst,3544002,35,44.9240139,-79.3740637,2,2379,FALSE,"480, first street n, gravenhurst, on, P1P1B9"
3688,great northern family health team,,,,,family health team - contract,Ambulatory health care services,,,,,Province of Ontario,,240,shepherdson road,P0J1P0,temiskaming shores,on,,Temiskaming Shores,3554020,35,47.49941201,-79.69553097,2,2380,FALSE,"240, shepherdson road, temiskaming shores, on, P0J1P0"
3689,great northern retirement home,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,760,great northern road,P6B0B5,sault ste marie,on,,Sault Ste. Marie,3557061,35,46.54935421,-84.31709876,2,2381,FALSE,"760, great northern road, sault ste marie, on, P6B0B5"
3690,greater city of sudbury program for community living,,,,,community support service,Ambulatory health care services,,,,,Province of Ontario,,15,kin drive,P3Y1N1,sudbury,on,,Greater Sudbury / Grand Sudbury,3553005,35,46.43849906,-81.14574553,2,2382,FALSE,"15, kin drive, sudbury, on, P3Y1N1"
3691,greenbelt family health team,,,,,family health team - contract,Ambulatory health care services,,,,,Province of Ontario,,3500,fallowfield road,K2J4A7,ottawa,on,,Ottawa,3506008,35,45.29303723,-75.74235664,2,2383,FALSE,"3500, fallowfield road, ottawa, on, K2J4A7"
3692,greenstone family health team,,,,,family health team - contract,Ambulatory health care services,,,,,Province of Ontario,,510,hogarth avenue w,P0T1M0,geraldton,on,,Greenstone,3558075,35,49.7233494,-86.95696565,2,2384,FALSE,"510, hogarth avenue w, geraldton, on, P0T1M0"
3693,greenview lodge,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,880,lawrence avenue e,M3C1P6,toronto,on,,Toronto,3520005,35,43.736373,-79.34886588,2,2385,FALSE,"880, lawrence avenue e, toronto, on, M3C1P6"
3694,greenway lodge retirement home,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,860,the greenway,L5G1P6,mississauga,on,,Mississauga,3521005,35,43.56395956,-79.56964054,2,2386,FALSE,"860, the greenway, mississauga, on, L5G1P6"
3695,greenway retirement village,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,100,ken whillans drive,L6V0A4,brampton,on,,Brampton,3521010,35,43.69217287,-79.76373531,2,2387,FALSE,"100, ken whillans drive, brampton, on, L6V0A4"
3696,greenwood court,,,,,long-term care home,Nursing and residential care facilities,,,,,Province of Ontario,,90,greenwood drive,N5A7W5,stratford,on,,Stratford,3531011,35,43.38294686,-80.97615776,2,2388,FALSE,"90, greenwood drive, stratford, on, N5A7W5"
3697,grey bruce health services,,,,,mental health and addiction organization,Nursing and residential care facilities,,,,,Province of Ontario,,495,9 avenue e,N4K3E2,owen sound,on,,Owen Sound,3542059,35,44.56018467,-80.92544046,2,2389,FALSE,"495, 9 avenue e, owen sound, on, N4K3E2"
3711,grey bruce health unit,,,,,public health unit office,Ambulatory health care services,,,,,Province of Ontario,,101,17 street e,N4K0A5,owen sound,on,,Owen Sound,3542059,35,44.57653957,-80.94024697,2,2390,FALSE,"101, 17 street e, owen sound, on, N4K0A5"
3712,grey bruce palliative care hospice association inc.,,,,,community support service,Ambulatory health care services,,,,,Province of Ontario,,340,10 street e,N4K6P7,owen sound,on,,Owen Sound,3542059,35,44.56819217,-80.94068617,2,2391,FALSE,"340, 10 street e, owen sound, on, N4K6P7"
3714,greycliffe manor,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,8158,lundys lane,L2H1H1,niagara falls,on,,Niagara Falls,3526043,35,43.0883215,-79.13431826,2,2392,FALSE,"8158, lundys lane, niagara falls, on, L2H1H1"
3715,"groupe action pour l'enfant, la famille et la communauté de prescott et russell",,,,,community support service,Ambulatory health care services,,,,,Province of Ontario,,250,main street e,K6A1A5,hawkesbury,on,,Hawkesbury,3502008,35,45.60991163,-74.60804929,2,2393,FALSE,"250, main street e, hawkesbury, on, K6A1A5"
3716,"the grove, arnprior and district nursing home","the grove, arnprior and district nursing home",,TRUE,"['the grove, arnprior and district nursing home', 'arnprior regional health — the grove nursing home']",community support service,Nursing and residential care facilities,Nursing and residential care facilities,TRUE,,['Nursing and residential care facilities'],Province of Ontario,,275,ida street n,K7S3M7,arnprior,on,,Arnprior,3547002,35,45.43909913,-76.36088256,2,2394,TRUE,"275, ida street n, arnprior, on, K7S3M7"
3718,grove park home for senior citizens,grove park home,,FALSE,"['grove park home for senior citizens', 'grove park home']",community support service,Ambulatory health care services,,FALSE,,"['Ambulatory health care services', 'Nursing and residential care facilities']",Province of Ontario,,234,cook street,L4M4H5,barrie,on,,Barrie,3543042,35,44.4060207,-79.66946724,2,2395,TRUE,"234, cook street, barrie, on, L4M4H5"
3720,groves park lodge,,,,,long-term care home,Nursing and residential care facilities,,,,,Province of Ontario,,470,raglan street n,K7V1P5,renfrew,on,,Renfrew,3547048,35,45.48151172,-76.69696907,2,2396,FALSE,"470, raglan street n, renfrew, on, K7V1P5"
3721,guelph community health centre,,,,,community health centre,Ambulatory health care services,,,,,Province of Ontario,,176,wyndham street n,N1H8N9,guelph,on,,Guelph,3523008,35,43.54778153,-80.25146465,2,2397,FALSE,"176, wyndham street n, guelph, on, N1H8N9"
3722,guelph fht,,,,,family health team - contract,Ambulatory health care services,,,,,Province of Ontario,,55,wyndham street n,N1H7T8,guelph,on,,Guelph,3523008,35,43.54602733,-80.24841155,2,2398,FALSE,"55, wyndham street n, guelph, on, N1H7T8"
3724,guelph independent living,,,,,community support service,Ambulatory health care services,,,,,Province of Ontario,,255,woodlawn road w,N1H8J1,guelph,on,,Guelph,3523008,35,43.55328942,-80.29533457,2,2399,FALSE,"255, woodlawn road w, guelph, on, N1H8J1"
3725,h.j. mcfarland memorial home,,,,,long-term care home,Nursing and residential care facilities,,,,,Province of Ontario,,603,county road 49 prince edward,K0K2T0,,on,,Prince Edward County,3513020,35,44.02513295,-77.13549939,3,2400,FALSE,"603, county road 49 prince edward, on, K0K2T0"
3726,habitat services (mental health program services of metropolitan toronto),,,,,mental health and addiction organization,Nursing and residential care facilities,,,,,Province of Ontario,,2238,dundas street w,M6R3A9,toronto,on,,Toronto,3520005,35,43.65437708,-79.45149351,2,2401,FALSE,"2238, dundas street w, toronto, on, M6R3A9"
3727,haileybury family health team,,,,,family health team - contract,Ambulatory health care services,,,,,Province of Ontario,,95,meridian avenue,P0J1K0,temiskaming shores,on,,Temiskaming Shores,3554020,35,47.438445,-79.63182464,2,2402,FALSE,"95, meridian avenue, temiskaming shores, on, P0J1K0"
3728,haldimand fht,,,,,family health team - contract,Ambulatory health care services,,,,,Province of Ontario,,170,brookfield boulevard,N1A2Y4,hagersville,on,,Haldimand County,3528018,35,42.95989873,-80.05228964,2,2403,FALSE,"170, brookfield boulevard, hagersville, on, N1A2Y4"
3729,haldimand norfolk work group of simcoe (hnwgs),,,,,mental health and addiction organization,Nursing and residential care facilities,,,,,Province of Ontario,,447,queensway w,N3Y2N4,simcoe,on,,Norfolk County,3528052,35,42.8431732,-80.32437671,2,2404,FALSE,"447, queensway w, simcoe, on, N3Y2N4"
3731,haldimand-norfolk community senior support services inc.,,,,,community support service,Ambulatory health care services,,,,,Province of Ontario,,75,parkview road,N0A1H0,hagersville,on,,Haldimand County,3528018,35,42.95869143,-80.04475583,2,2405,FALSE,"75, parkview road, hagersville, on, N0A1H0"
3732,haldimand-norfolk health unit,,,,,public health unit office,Ambulatory health care services,,,,,Province of Ontario,,12,gilbertson drive,N3Y4L1,simcoe,on,,Norfolk County,3528052,35,42.8480811,-80.30364261,2,2406,FALSE,"12, gilbertson drive, simcoe, on, N3Y4L1"
3733,haldimand-norfolk women's services,,,,,mental health and addiction organization,Nursing and residential care facilities,,,,,Province of Ontario,,,,N1N1N1,dunnville,on,,Haldimand County,3528018,35,42.90354584,-79.61700779,4,2407,FALSE,"dunnville, on, N1N1N1"
3734,haliburton highlands fht,,,,,family health team - contract,Ambulatory health care services,,,,,Province of Ontario,,7217,gelert road,K0M1S0,haliburton,on,,Dysart et al,3546024,35,45.03901766,-78.52815703,2,2408,FALSE,"7217, gelert road, haliburton, on, K0M1S0"
3738,haliburton highlands health services - minden,,,,,hospital - site,Hospitals,,,,,Province of Ontario,,6,mcpherson street,K0M2K0,minden,on,,Minden Hills,3546015,35,44.9250073,-78.7316832,2,2409,FALSE,"6, mcpherson street, minden, on, K0M2K0"
3740,haliburton highlands health services corporation,,,,,mental health and addiction organization,Nursing and residential care facilities,,,,,Province of Ontario,,14,iga road,K0M2K0,minden,on,,Minden Hills,3546015,35,44.91797433,-78.72235679,2,2410,FALSE,"14, iga road, minden, on, K0M2K0"
3741,"haliburton, kawartha, pine ridge district health unit",,,,,public health unit office,Ambulatory health care services,,,,,Province of Ontario,,200,rose glen road,L1A3V6,port hope,on,,Port Hope,3514020,35,43.96823949,-78.28561196,2,2411,FALSE,"200, rose glen road, port hope, on, L1A3V6"
3742,hallowell house,,,,,long-term care home,Nursing and residential care facilities,,,,,Province of Ontario,,13628,loyalist parkway prince,K0K2T0,edward,on,,Prince Edward County,3513020,35,43.99421064,-77.1810053,2,2412,FALSE,"13628, loyalist parkway prince, edward, on, K0K2T0"
3743,"halton alcohol, drug and gambling assessment, prevention and treatment services",,,,,mental health and addiction organization,Nursing and residential care facilities,,,,,Province of Ontario,,211,guelph street,L7G5B5,halton hills,on,,Halton Hills,3524015,35,43.65089776,-79.90095305,2,2413,FALSE,"211, guelph street, halton hills, on, L7G5B5"
3744,halton cheshire homes incorporated - carey house,,,,,community support service,Ambulatory health care services,,,,,Province of Ontario,,3060,mainway drive,L7M1A3,burlington,on,,Burlington,3524002,35,43.35761511,-79.80927849,2,2414,FALSE,"3060, mainway drive, burlington, on, L7M1A3"
3749,halton healthcare services - oakville,,,,,hospital - corporation,Hospitals,,,,,Province of Ontario,,3001,hospital gate,L6M0L8,oakville,on,,Oakville,3524001,35,43.44892573,-79.76659729,2,2415,FALSE,"3001, hospital gate, oakville, on, L6M0L8"
3757,halton region health department,,,,,aids bureau,Ambulatory health care services,,,,,Province of Ontario,,3350,fairview street,L7N3L5,burlington,on,,Burlington,3524002,35,43.35405261,-79.78458289,2,2416,FALSE,"3350, fairview street, burlington, on, L7N3L5"
3758,hamilton community support association,,,,,mental health and addiction organization,Nursing and residential care facilities,,,,,Province of Ontario,,987,king street e,L8M1C6,hamilton,on,,Hamilton,3525005,35,43.25118819,-79.83462369,2,2417,FALSE,"987, king street e, hamilton, on, L8M1C6"
3759,hamilton continuing care,,,,,long-term care home,Nursing and residential care facilities,,,,,Province of Ontario,,125,wentworth street s,L8N2Z1,hamilton,on,,Hamilton,3525005,35,43.24791349,-79.8504795,2,2418,FALSE,"125, wentworth street s, hamilton, on, L8N2Z1"
3760,hamilton east kiwanis boys' and girls' club - adult day program,,,,,community support service,Ambulatory health care services,,,,,Province of Ontario,,45,ellis avenue,L8H4L8,hamilton,on,,Hamilton,3525005,35,43.24868989,-79.81072298,2,2419,FALSE,"45, ellis avenue, hamilton, on, L8H4L8"
3771,hamilton health sciences - st. peter's hospital,,,,,hospital - site,Hospitals,,,,,Province of Ontario,,88,maplewood avenue,L8M1W9,hamilton,on,,Hamilton,3525005,35,43.24514479,-79.83712249,2,2420,FALSE,"88, maplewood avenue, hamilton, on, L8M1W9"
3772,hamilton health sciences - ucc,,,,,urgent care,Hospitals,,,,,Province of Ontario,,690,main street w,L8S1A4,hamilton,on,,Hamilton,3525005,35,43.26011899,-79.89768341,2,2421,FALSE,"690, main street w, hamilton, on, L8S1A4"
3778,hamilton jewish home for the aged - shalom village,shalom village,,FALSE,"['hamilton jewish home for the aged - shalom village', 'shalom village']",community support service,Ambulatory health care services,,FALSE,,"['Ambulatory health care services', 'Nursing and residential care facilities']",Province of Ontario,,70,macklin street n,L8S3S1,hamilton,on,,Hamilton,3525005,35,43.26411849,-79.89518251,2,2422,TRUE,"70, macklin street n, hamilton, on, L8S3S1"
3779,hamilton networked family health team,,,,,family health team - contract,Ambulatory health care services,,,,,Province of Ontario,,10,george street,L8R2K8,hamilton,on,,Hamilton,3525005,35,43.25750229,-79.87474961,2,2423,FALSE,"10, george street, hamilton, on, L8R2K8"
3780,hamilton niagara haldimand branch community care access centre (css),,,,,community support service,Ambulatory health care services,,,,,Province of Ontario,,195,henry street,N3S5C9,brantford,on,,Brantford,3529006,35,43.15628086,-80.24140951,2,2424,FALSE,"195, henry street, brantford, on, N3S5C9"
3781,hamilton niagara haldimand brant local health integration network,,,,,community support service,Ambulatory health care services,,,,,Province of Ontario,,211,Pritchard Road,L8J0G5,hamilton,on,,Grimsby,3526065,35,43.1845707,-79.52728319,2,2425,FALSE,"211, Pritchard Road, hamilton, on, L8J0G5"
3784,hamilton program for schizophrenia,,,,,mental health and addiction organization,Nursing and residential care facilities,,,,,Province of Ontario,,20,hughson street s,L8N2A1,hamilton,on,,Hamilton,3525005,35,43.25533609,-79.8684934,2,2426,FALSE,"20, hughson street s, hamilton, on, L8N2A1"
3785,hamilton public health services,,,,,public health unit office,Ambulatory health care services,,,,,Province of Ontario,,110,king street w,L8P4S6,hamilton,on,,Hamilton,3525005,35,43.25786669,-79.8711221,2,2427,FALSE,"110, king street w, hamilton, on, L8P4S6"
3786,hamilton urban core community health centre,,,,,health centre,Ambulatory health care services,,,,,Province of Ontario,,71,rebecca street,L8R1B6,hamilton,on,,Hamilton,3525005,35,43.25759679,-79.8649483,2,2428,FALSE,"71, rebecca street, hamilton, on, L8R1B6"
3787,hamilton's hometown retirement living,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,294,elora street s,N0G1Z0,minto,on,,Minto,3523043,35,43.90732536,-80.86075748,2,2429,FALSE,"294, elora street s, minto, on, N0G1Z0"
3788,hampton court,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,49,albert street s,N0H2L0,southampton,on,,Saugeen Shores,3541045,35,44.49438613,-81.3729198,2,2430,FALSE,"49, albert street s, southampton, on, N0H2L0"
3789,hampton terrace care centre,,,,,long-term care home,Nursing and residential care facilities,,,,,Province of Ontario,,75,plains road w,L7T1E8,burlington,on,,Burlington,3524002,35,43.3054339,-79.8554984,2,2431,FALSE,"75, plains road w, burlington, on, L7T1E8"
3790,hannah walker place,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,846,2 avenue w,N4K4M5,owen sound,on,,Owen Sound,3542059,35,44.56423637,-80.94598097,2,2432,FALSE,"846, 2 avenue w, owen sound, on, N4K4M5"
3792,hanover care centre,,,,,long-term care home,Nursing and residential care facilities,,,,,Province of Ontario,,700,19 avenue,N4N3S6,hanover,on,,Hanover,3542029,35,44.15991379,-81.01744915,2,2433,FALSE,"700, 19 avenue, hanover, on, N4N3S6"
3793,hanover family health team inc.,,,,,family health team - contract,Ambulatory health care services,,,,,Province of Ontario,,90,7 avenue,N4N1N1,hanover,on,,Hanover,3542029,35,44.14187529,-81.02931555,2,2434,FALSE,"90, 7 avenue, hanover, on, N4N1N1"
3794,happy valley family health team inc.,,,,,family health team - contract,Ambulatory health care services,,,,,Province of Ontario,,268,maiden lane,N4X1B7,saint marys,on,,St. Marys,3531016,35,43.25917413,-81.15198121,2,2435,FALSE,"268, maiden lane, saint marys, on, N4X1B7"
3795,harbour hill retirement community,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,104,suncoast drive,N7A0A7,goderich,on,,Goderich,3540028,35,43.73120259,-81.70494283,2,2436,FALSE,"104, suncoast drive, goderich, on, N7A0A7"
3796,harbourview family health team,,,,,family health team - contract,Ambulatory health care services,,,,,Province of Ontario,,1040,oliver road,P7B7A5,thunder bay,on,,Thunder Bay,3558004,35,48.42137156,-89.27180407,2,2437,FALSE,"1040, oliver road, thunder bay, on, P7B7A5"
3797,hardy terrace,,,,,long-term care home,Nursing and residential care facilities,,,,,Province of Ontario,,612,mount pleasant road,N3T5L5,brantford,on,,Brant,3529005,35,43.0876862,-80.3068167,2,2438,FALSE,"612, mount pleasant road, brantford, on, N3T5L5"
3798,harmony estate seniors residence inc.,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,3589,tooley road,L1E2G9,courtice,on,,Clarington,3518017,35,43.92292826,-78.80593782,2,2439,FALSE,"3589, tooley road, courtice, on, L1E2G9"
3799,harmony hall centre- call a service inc,,,,,community support service,Ambulatory health care services,,,,,Province of Ontario,,2,gower street,M4B1E2,toronto,on,,Toronto,3520005,35,43.7021584,-79.29886836,2,2440,FALSE,"2, gower street, toronto, on, M4B1E2"
3800,harmony hill retirement community,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,1335,benson street,L1K0W6,oshawa,on,,Oshawa,3518013,35,43.94184456,-78.83499383,2,2441,FALSE,"1335, benson street, oshawa, on, L1K0W6"
3801,harmony hills care community,,,,,long-term care home,Nursing and residential care facilities,,,,,Province of Ontario,,1800,oconnor drive,M4A1W7,toronto,on,,Toronto,3520005,35,43.7205599,-79.30496586,2,2442,FALSE,"1800, oconnor drive, toronto, on, M4A1W7"
3802,harold and grace baker centre,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,1,northwestern avenue,M6M2J7,toronto,on,,Toronto,3520005,35,43.69821459,-79.46978092,2,2443,FALSE,"1, northwestern avenue, toronto, on, M6M2J7"
3803,harrow health centre inc. family health team,,,,,family health team - contract,Ambulatory health care services,,,,,Province of Ontario,,1480,erie road s,N0R1G0,essex,on,,Essex,3537016,35,42.03085103,-82.92295145,2,2444,FALSE,"1480, erie road s, essex, on, N0R1G0"
3804,harrowood seniors community,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,1,pollard drive,N0R1G0,essex,on,,Essex,3537016,35,42.02966893,-82.92051825,2,2445,FALSE,"1, pollard drive, essex, on, N0R1G0"
3805,harvest retirement community,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,15,harvest avenue,N4G0E2,tillsonburg,on,,Tillsonburg,3532004,35,42.85929058,-80.70325263,2,2446,FALSE,"15, harvest avenue, tillsonburg, on, N4G0E2"
3806,hastings and prince edward counties health unit,,,,,public health unit office,Ambulatory health care services,,,,,Province of Ontario,,179,north park street,K8P4P1,belleville,on,,Belleville,3512005,35,44.18671277,-77.39169699,2,2447,FALSE,"179, north park street, belleville, on, K8P4P1"
3807,hastings centennial manor,,,,,long-term care home,Nursing and residential care facilities,,,,,Province of Ontario,,1,manor lane,K0L1C0,bancroft,on,,Bancroft,3512061,35,45.0550849,-77.86421482,2,2448,FALSE,"1, manor lane, bancroft, on, K0L1C0"
3811,hawthorn woods care community,,,,,long-term care home,Nursing and residential care facilities,,,,,Province of Ontario,,9257,goreway drive,L6P0N5,brampton,on,,Brampton,3521010,35,43.75755779,-79.68888879,2,2449,FALSE,"9257, goreway drive, brampton, on, L6P0N5"
3812,hawthorne place care centre,,,,,long-term care home,Nursing and residential care facilities,,,,,Province of Ontario,,2045,finch avenue w,M3N1M9,toronto,on,,Toronto,3520005,35,43.7562352,-79.52146844,2,2450,FALSE,"2045, finch avenue w, toronto, on, M3N1M9"
3813,hazel burns hospice,,,,,community support service,Ambulatory health care services,,,,,Province of Ontario,,2562,eglinton avenue w,M6M1T4,toronto,on,,Toronto,3520005,35,43.69098659,-79.47236762,2,2451,FALSE,"2562, eglinton avenue w, toronto, on, M6M1T4"
3814,hazeldean gardens retirement residence,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,6130,hazeldean road,K2S2M2,ottawa,on,,Ottawa,3506008,35,45.27115462,-75.9329051,2,2452,FALSE,"6130, hazeldean road, ottawa, on, K2S2M2"
3815,hazelton place retirement residence,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,111,avenue road,M5R3J8,toronto,on,,Toronto,3520005,35,43.67320579,-79.39543479,2,2453,FALSE,"111, avenue road, toronto, on, M5R3J8"
3821,health for all fht,,,,,family health team - contract,Ambulatory health care services,,,,,Province of Ontario,,379,church street,L6B0T1,markham,on,,Markham,3519036,35,43.88472803,-79.23194586,2,2454,FALSE,"379, church street, markham, on, L6B0T1"
3826,health zone,,,,,nurse practitioner led clinic,Ambulatory health care services,,,,,Province of Ontario,,6,barberry court,N5Z3C4,london,on,,London,3539036,35,42.968175,-81.206594,2,2455,FALSE,"6, barberry court, london, on, N5Z3C4"
3827,heart niagara,,,,,mental health and addiction organization,Nursing and residential care facilities,,,,,Province of Ontario,,4635,queen street,L2E2L7,niagara falls,on,,Niagara Falls,3526043,35,43.1067413,-79.06999624,2,2456,FALSE,"4635, queen street, niagara falls, on, L2E2L7"
3828,hearthouse hospice inc.,,,,,community support service,Ambulatory health care services,,,,,Province of Ontario,,855,matheson boulevard e,L4W4L6,mississauga,on,,Mississauga,3521005,35,43.63071277,-79.64556487,2,2457,FALSE,"855, matheson boulevard e, mississauga, on, L4W4L6"
3829,heartwood,,,,,long-term care home,Nursing and residential care facilities,,,,,Province of Ontario,,201,11 street e,K6H2Y6,cornwall,on,,Cornwall,3501012,35,45.03336123,-74.73229849,2,2458,FALSE,"201, 11 street e, cornwall, on, K6H2Y6"
3830,heatherwood retirement residence,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,113,scott street,L2N7L2,st catharines,on,,St. Catharines,3526053,35,43.18068401,-79.2546439,2,2459,FALSE,"113, scott street, st catharines, on, L2N7L2"
3831,heidehof long term care home,,,,,long-term care home,Nursing and residential care facilities,,,,,Province of Ontario,,600,lake street,L2N4J4,st catharines,on,,St. Catharines,3526053,35,43.19665771,-79.251902,2,2460,FALSE,"600, lake street, st catharines, on, L2N4J4"
3832,helen henderson care centre,,,,,retirement home,Nursing and residential care facilities,,,,,Province of Ontario,,343,amherst drive,K7N1X3,amherstview,on,,Loyalist,3511005,35,44.22539531,-76.66374476,2,2461,FALSE,"343, amherst drive, amherstview, on, K7N1X3"
3834,helen zurbrigg non-profit homes inc.,,,,,community support service,Ambulatory health care services,,,,,Province of Ontario,,107,appleblossom drive,L9C7P1,hamilton,on,,Hamilton,3525005,35,43.21650318,-79.89718941,2,2462,FALSE,"107, appleblossom drive, hamilton, on, L9C7P1"
3835,hellenic care for seniors (toronto),,,,,long-term care home,Nursing and residential care facilities,,,,,Province of Ontario,,215,tyrrel avenue,M6G4A9,toronto,on,,Toronto,3520005,35,43.67679399,-79.430342,2,2463,FALSE,"215, tyrrel avenue, toronto, on, M6G4A9"
